,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
79,237351300,12/04/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,76,0,45-64,F,WHITE,984929,188341,40.68363749100007,-73.99755326399995,POINT (-73.99755326399996 40.68363749100007)
120,238309622,12/26/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,112,0,25-44,M,ASIAN / PACIFIC ISLANDER,1030013,198893,40.71248195800007,-73.83492834699997,POINT (-73.83492834699997 40.71248195800007)
122,237017274,11/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,81,0,45-64,M,WHITE HISPANIC,1004100,189675,40.687276786000034,-73.92842700999995,POINT (-73.92842700999995 40.687276786000034)
132,236926722,11/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,105,0,25-44,M,UNKNOWN,1057835,204668,40.72814522500005,-73.73450813299998,POINT (-73.73450813299998 40.72814522500005)
242,236212323,11/13/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,47,0,45-64,M,BLACK,1021043,265773,40.896090764000064,-73.86691774499997,POINT (-73.86691774499997 40.896090764000064)
251,238281399,12/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,79,0,45-64,M,BLACK,998241,187165,40.68039860900007,-73.94955839299999,POINT (-73.94955839299998 40.68039860900007)
338,237997220,12/17/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,M,1,3,45-64,M,ASIAN / PACIFIC ISLANDER,982018,202668,40.72296149300007,-74.00805382399994,POINT (-74.00805382399994 40.72296149300007)
442,236974563,11/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL1192U2C,M,Q,107,0,45-64,M,WHITE,1041849,208825,40.739673676000045,-73.79214949099996,POINT (-73.79214949099996 40.739673676000045)
558,238493032,12/31/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,83,0,18-24,M,WHITE HISPANIC,1006413,193401,40.69749830400008,-73.92007462199997,POINT (-73.92007462199997 40.69749830400008)
596,236918302,11/24/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,72,0,25-44,M,WHITE HISPANIC,984943,178795,40.65743585100006,-73.99750376599997,POINT (-73.99750376599997 40.65743585100006)
