,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
35,237349642,12/04/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,M,20,0,25-44,M,BLACK,991040,225092,40.784507365000024,-73.97548255699995,POINT (-73.97548255699996 40.78450736500002)
42,236241282,11/14/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1554001,F,Q,113,3,25-44,M,BLACK,1046315,187088,40.67998073800004,-73.77623390699993,POINT (-73.77623390699993 40.67998073800004)
72,238227651,12/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,14,0,18-24,M,BLACK,985802,213781,40.753464076000064,-73.99439974299997,POINT (-73.99439974299997 40.75346407600006)
73,236062037,11/09/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,17,0,25-44,F,ASIAN / PACIFIC ISLANDER,992254,214997,40.75679820100004,-73.97111078699999,POINT (-73.97111078699999 40.75679820100004)
84,237580745,12/09/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,48,0,<18,F,BLACK,1019229,244207,40.836906078000034,-73.87359170899998,POINT (-73.87359170899998 40.83690607800003)
93,237563951,12/08/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,47,0,<18,M,BLACK,1025927,261467,40.88425045200007,-73.84927869299997,POINT (-73.84927869299997 40.88425045200007)
94,236831787,11/23/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,44,0,45-64,M,BLACK,1003307,239962,40.82530348200004,-73.93114385699994,POINT (-73.93114385699994 40.82530348200004)
142,236157166,11/11/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,44,0,25-44,M,WHITE HISPANIC,1008274,245226,40.83973953100008,-73.91317803199999,POINT (-73.91317803199998 40.83973953100008)
152,237013229,11/28/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,K,72,0,18-24,M,UNKNOWN,978970,172542,40.64027117000006,-74.01902646799994,POINT (-74.01902646799994 40.64027117000006)
164,236546003,11/19/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,47,0,18-24,M,BLACK,1021972,265517,40.89538420400004,-73.86355891299998,POINT (-73.86355891299998 40.89538420400004)
